db77c3d3-7ea2-4178-91f1-fd1c0bb7cb3f,Kucing ingin menjadi milik,Suatu hari kedua gadis itu berjalan pulang.,Karen gadis pertama berkata apakah kamu mendengar suara itu?,Itu adalah sesuatu yang datang dari semak -semak.,Kits oranye yang malang yang tidak diinginkan siapa pun.,Dia mengeong jalan ke hati gadis itu dan dia membawanya pulang.
fd9a6b5f-fef5-4655-983a-4a4682406ba3,Phil bermain sepak bola,Phil suka bermain olahraga dengan teman -temannya.,"Semua temannya menyukai bola basket, tetapi Phil sangat suka sepak bola.",Phil mengundang semua temannya untuk bermain sepak bola bersamanya pada hari Jumat.,Mereka semua muncul dan bermain sepak bola.,Sekarang teman Phil suka bermain sepak bola!
951fca52-e61d-45b2-8e93-c193d68fb385,Catatan cinta,Cam menulis catatan cinta kepada seorang gadis cantik di kelasnya.,Dia menyerahkannya kepadanya saat dia berjalan untuk membuang sesuatu.,Dia membukanya dan segera menulis kembali.,"Cam mengambil tanggapannya, dari mejanya.",Dia membacanya dan senang dia akan duduk bersamanya saat makan siang.
839d49b9-0d40-4452-948f-cd3eaaba93d0,Skittles,Saya punya teman yang jatuh cinta dengan Skittles ketika kami berusia lima tahun.,"Dia memakannya setiap hari, dan akan membawa mereka ke dalam wadah ke rumah saya.","Dia menyukai yang terbaik, jadi dia akan memberi saya sisanya.",Kami duduk di tempat tidur dan memakannya dan minum susu cokelat.,Kami melakukan ini setiap hari sepulang sekolah selama 3 tahun.
39581438-dd10-4074-842c-733f24a1d375,Berjudi,Joan pergi ke kasino untuk mencoba keberuntungannya.,Dia menempatkan perempat senilai $ 10 di mesin slot pertama yang dia lihat.,Dia tidak memenangkan apa pun dan sangat kecewa.,"Dalam perjalanan pulang, dia menemukan $ 10 di trotoar.","Dia tersenyum, mengambilnya, dan pulang dengan hati yang ringan."
f085aab6-c13a-46d6-aca0-cf942b50577a,Keluarga baru,Jenn dan Bill jatuh cinta dan menikah.,"Beberapa bulan kemudian, Jenn mengetahui bahwa dia hamil.",Bill sangat bersemangat dan tidak sabar untuk menjadi ayah.,Mereka mengetahui bahwa mereka memiliki bayi laki -laki.,"Begitu bayi itu lahir, mereka menamainya Theodore."
e19867fe-9b77-4a56-934a-9fd00d4c802e,Lone Girl,Dessie ingin bertemu pasangan baru.,Dia pergi melalui banyak situs kencan tidak berhasil.,"Akhirnya, dia menyerah dan pergi ke perpustakaan.","Anehnya, dia bertemu dengan seorang pria tampan di sana dan mereka bertukar nomor.","Setelah beberapa minggu, mereka bersama dalam suatu hubungan."
78171fa9-c1a2-412d-a803-782fd522f770,Pekerjaan Baru,Saya ingat ketika saya mulai bekerja di pekerjaan saya saat ini.,Hari pertama sangat menakutkan.,Saya belum pernah bekerja di tempat seperti ini sebelumnya.,Setelah beberapa minggu saya terbiasa dengan pekerjaan semacam ini.,"Sekarang, saya suka bekerja di sini dan saya tidak ingin pergi."
234c402b-a087-40d0-b39e-79374fe1a755,Pergi bermain ski,Saya berdiri di jalan dan melihat ke bawah gunung.,Jantungku mulai berdebar kencang.,Instruktur mengucapkan beberapa kata yang menggembirakan kepada saya.,"Saya tenang, dan mulai menyusuri jalan.","Pada saat saya sampai di bawah, saya siap untuk pergi lagi."
6c96a437-6054-42f5-8e20-a97612614491,Pendekatan prom,Robert selalu gugup saat berbicara dengan gadis -gadis.,Rob memutuskan dia ingin meminta Katie ke prom.,Rob menghabiskan tiga puluh menit berlatih pidatonya untuk Katie.,"Rob akhirnya mendekati Katie, hatinya di tenggorokannya.","Rob bertanya padanya, dan Katie berkata ya!"
b5995629-0c97-4563-9990-3d39f3164f77,Tas Disney saya,Saya memiliki tas Disney besar yang saya beli lima tahun lalu.,"Saya telah menggunakannya sejak saya membelinya, dan bahkan belum pudar.",Saya menyimpannya di lemari saya saat saya tidak menggunakannya hari itu.,"Saya ingin yang baru, tapi saya terlalu suka yang ini.",Saya menyimpan tas untuk diberikan kepada putri saya suatu hari nanti.
e63d5b31-d606-471b-8ba8-163bb396528d,Ciuman,Remy berkencan dengan seorang gadis yang sangat disukainya.,Dia senang mengenalnya.,"Di penghujung malam, dia mencoba menciumnya.",Dia secara tidak sengaja merasakan dan menjatuhkannya.,Mereka tidak keluar lagi.
51a192b3-9aff-46a7-8869-dd091f8ed72f,Seth menikah,Seth selalu ingin menikah.,"Namun, dia khawatir bahwa dia tidak akan pernah jatuh cinta.",Akhirnya dia bertemu dengan seorang wanita baik yang sangat dia sukai.,Mereka memutuskan untuk menikah.,Seth senang akhirnya akan menikah.
05f3c873-50e9-4ae4-9f5f-eda493843f81,Karen kehilangan kucingnya,Karen memutuskan untuk membeli kucing baru.,Dia sangat jatuh cinta dengan kucingnya.,Dia membawanya ke mana -mana.,Suatu hari dia keluar mendapatkan susu untuk rumah.,"Ketika dia kembali, kucing itu bukan rumah!"
11dcdbe3-b3c1-47aa-9687-1ff3ce5eb884,Anak anjing baru Roy.,Roy adalah pensiunan pekerja konstruksi yang tinggal sendirian.,Dia baru -baru ini janda dan sedang mencari beberapa perusahaan.,Suatu hari putra Roy dan cucunya muncul dengan kejutan.,Kejutannya adalah anak anjing bulldog baru!,"Pada awalnya, Roy gugup tetapi dia dengan cepat jatuh cinta dengan anjing itu."
0fad437c-14dd-46f8-bd3e-e4ccb20fc054,Usaha Bisnis Baru Jacob,Yakub selalu senang menyajikan makanan orang.,Dia mencintai ketika orang tuanya menjadi tuan rumah pesta tumbuh dewasa.,Gairah Yakub membawanya untuk membuka bistro di pusat kota.,Dia tidak melakukan pekerjaan dengan baik dalam memilih koki untuk disewa.,Sekarang tidak ada yang mau makan di sana karena makanannya tidak terlalu enak.
c1d44bf4-0ef5-455b-8a18-570cdb4241c5,Kelas tembikar,Jason memutuskan untuk mengambil kelas tembikar untuk hobi baru.,Seorang pria bernama John duduk di stasiun di sebelahnya.,Jason dan John tumbuh dekat selama semester.,Mereka pergi ke bar bersama setelah ujian akhir mereka.,John mengakui cintanya kepada Jason.
98658d16-eed0-4b86-9c51-10b1162a01bb,Pria yang lebih tua,Maria jatuh cinta dengan seorang pria.,Namun dia jauh lebih tua darinya.,Orang tuanya tidak menyetujui hubungan seperti itu.,Maria pergi dengan hatinya.,Dan akhirnya hidup untuk menikahi pria ini.
fae681a9-9829-4fac-9c70-0d36003e5b6b,Relawan Stan,Stan memutuskan dia ingin menyumbangkan waktunya.,Dia mulai menyajikan makanan di dapur sup setempat.,Pada awalnya Stan menemukan pengalaman itu tidak nyaman.,"Namun, akhirnya ia menjadi makhluk untuk menyukainya.",Stan senang bahwa dia telah menjadi sukarelawan.
9cb0eb6e-d9c1-4f07-babd-cf1a621318e9,Kontak dengan kenalan lama,Seorang gadis yang saya gunakan untuk mengasuh untuk menghubungi saya melalui media sosial.,"Dia bukan lagi seorang gadis kecil, tetapi berusia 30 -an.",Dia mengatakan kepada saya bahwa dia mencintai The Beatles karena saya sering memainkan musik mereka.,"Saya bahkan tidak ingat ini, dan itu menyentuh hati saya sehingga dia mengatakannya.",Sungguh menakjubkan kita dapat memiliki pengaruh melalui hal -hal kecil yang kita lakukan.
9ac07bfe-5dfe-4614-8474-dec4b299914a,Usul,John dan Cathy telah berkencan selama 2 tahun.,Mereka sangat mencintai satu sama lain.,John memutuskan dia ingin menikah dengan Cathy.,Dia membeli cincin pertunangan berlian.,Cathy menjawab ya ketika John memintanya untuk menikah dengannya.
11432c9b-5ba2-4436-902e-b81e144b009d,Peternakan Dawson,Chad sedang mencari unit penyimpanan mandiri.,Dia menemukan satu di kotanya yang memungkinkannya membeli sewa online.,Chad memasukkan informasi kartu kreditnya dengan kepercayaan di dalam hatinya.,Dia mendapat email yang mengkonfirmasi rentalnya.,Chad sangat senang dengan unit penyimpanan barunya.
9df8a3c7-20ff-48f9-830a-50f783485d27,Cinta layang -layang,Barry senang membuat layang -layang di waktu luangnya.,Barry memutuskan untuk membuat layang -layang menjadi bisnis.,Barry kagum dengan jumlah pesanan yang diterimanya.,Barry memastikan bahwa setiap layang -layang dibuat dengan cinta dan perhatian.,Barry senang dia bisa mengubah hobinya menjadi hasrat.
37deffe8-8ae7-4181-8610-31ec50fa06eb,Kacamata hitam,Kate akan menargetkan untuk membeli persediaan rumah.,Dia melihat bagian dolar dan memutuskan untuk menjelajah.,Dia menemukan mainan dan hal -hal untuk dinikmati anak -anak.,Dia memutuskan untuk membeli sepasang kacamata hitam untuk keponakan.,Kate yakin anak -anak akan mencintai mereka.
c3ee89aa-d08d-4598-a011-37aebdd66572,Gaya rambut baru,Barry ingin mengganti gaya rambutnya.,Barry lelah mengenakan rambutnya di cornrows.,Barry memutuskan sudah waktunya untuk memotong cornrows -nya.,"Barry takut akan perubahan itu, tetapi memutuskan untuk merangkulnya.",Barry kecewa karena dia memotong rambutnya.
ed5aa872-0239-4039-9669-565041d36a76,Gambar pesawat,Kate sedang berlibur.,Dia menatap ke luar jendela saat pesawat melonjak.,Dia menyadari keponakan dan keponakannya tidak pernah berada di pesawat.,Dia memutuskan untuk mengambil gambar di teleponnya untuk menunjukkan kepada anak -anak.,Dia yakin anak -anak akan menyukai foto -foto itu.
84e13cd6-7512-44bb-8ea6-d7f82da0f467,Serangan jantung,Ryan mengalami serangan jantung.,Dia disimpan di rumah sakit selama berhari -hari.,Mereka menjalankan banyak tes padanya.,Kemudian mereka mengatakan dia sehat lagi.,"Akhirnya, Ryan bisa pulang!"
01e496ed-7b24-4644-9c68-ffc7276817d6,Mencari koneksi,Saya memposting iklan ke Craigslist bahwa saya sedang mencari koneksi.,"Sebagai ibu tunggal berusia 18 tahun dengan dua anak, sulit untuk menemukan mereka.",Saya sangat senang ketika seorang pria menanggapi iklan saya.,Namun si brengsek meminta saya untuk gambar telanjang!,Saya mengatakan kepadanya tidak karena saya seorang wanita dengan harga diri!
ae4ddd09-40cf-4c5d-9f49-d216271238dd,Keith mencoba,Keith selalu ingin menjadi milik.,Dia memutuskan untuk mencoba tim renang.,Dia gugup dan hanya ingin terpisah dari sesuatu.,Keith mengangkut hatinya selama uji coba.,Keith akhirnya membuat tim renang dan merasa sangat ulung.
1e0f8a19-fc39-489b-8342-709703d95d19,Menandai patah hati,Mark sangat jatuh cinta dengan pacarnya.,Mark akan melamarnya malam ini.,Dia membawanya ke tempat terbaik di kota.,Mark berlutut dan memintanya untuk menikah dengannya.,"Dia bilang tidak, dia berhenti mencintainya berbulan -bulan yang lalu."
6a10f4af-4040-46d8-9f57-d3f3a44426af,Membuat tim,Hari ini adalah hari uji coba sepak bola.,Jeremy berharap untuk membuat tim.,Dia memainkan hatinya di semua latihan.,Momen itu tiba ketika nama dipanggil.,Jeremy mendengar namanya dan berada di atas bulan.
124dd86a-c5d7-48bf-a8bf-d4a3a6c7a8a6,Ayam betina,Emma membeli ayam untuk pertanian barunya.,Dia menunggu dengan sabar untuk bertelur pertamanya.,"Segera, Emma menemukan telur menunggu di kandang!",Dia membawanya ke dalam dan meletakkannya di meja.,Dia tidak memiliki hati untuk memecahkannya sehingga dia menyimpannya selama berminggu -minggu.
86146266-6369-4aae-bfdb-0ecd59e25e24,Ayah Mitchell,Mitchell dekat dengan ayahnya.,Ayah Mitchell menderita serangan jantung.,Setelah beberapa hari di rumah sakit ia meninggal.,Mitchell mengatur pemakaman untuk ayahnya.,Mitchell memberikan pidato yang mengharukan untuk ayahnya di pemakaman.
090f0b30-60e3-4180-8890-cdfec770fbb4,Borderlands,Semua orang di rumah saya seperti permainan Borderlands.,Sayangnya kami hanya memiliki dua komputer dan ada tiga dari kami.,Kami menghabiskan waktu sesekali bermain -main dengan suku cadang.,Akhirnya kami menggabungkan dua PC yang rusak untuk membuatnya bekerja satu.,Kami semua sangat suka bermain Borderlands bersama sekarang.
07df1c5e-d815-479c-99bc-c22969202298,Menunggu Bertha,Hubert mengeluarkan ponsel cerdasnya untuk memeriksa suratnya.,"Dia membaca dengan teliti melalui lima puluh email, tetapi tidak ada dari Bertha.",Dia duduk di bangku menunggu emailnya.,"Empat menit kemudian, email Bertha muncul dan dia tersenyum lebar.",Dia mengantongi telepon dan melanjutkan jalannya dengan hati yang ringan.
594eb905-2291-4378-b1fb-26c9972e485a,Penjualan Kebakaran,Bob pindah ke apartemen.,Dia adalah seorang musisi yang berdagang dengan banyak peralatan.,"Hati Bob untuk menjualnya, tapi itulah yang dia coba lakukan.","Ketika tidak ada yang tertarik dengan amp lamanya, ia menyumbangkannya.",Bob merasa sangat sedih untuk tidak memiliki perlengkapan musiknya lagi.
f7e2ef6f-aa03-40d8-850f-f8d5cebe1064,Cinta atau iman,Martin belajar sangat keras untuk menjadi seorang imam.,"Karena dia tidak punya niat untuk jatuh cinta, itu bekerja dengan baik untuknya.","Tapi suatu hari, ketika dia berjalan menyusuri jalan, seorang wanita menangis.","Penuh dengan empati, dia pergi untuk menghiburnya.",Dan dia tahu dia jatuh cinta ketika mata mereka bertemu.
f48947c7-e78d-4cc4-a50d-2b191afb0ea1,Internet down,Bill bekerja di rumah di komputernya.,Tiba -tiba koneksi internetnya keluar.,Dia mencoba memulai kembali modemnya tanpa hasil.,Beberapa menit kemudian tetangga Bill mengetuk pintu.,Dia mengatakan dia secara tidak sengaja memotong kabel internet dengan mesin pemotong rumputnya.
248e390c-ee1c-4170-99ac-ebaaf7d4b632,Puisi cinta,"Ketika Cathy sampai di rumah, dia memutuskan untuk memeriksa kotak suratnya.","Ada tagihan khas, bersama dengan surat sampah lainnya.","Namun, dia melihat amplop merah muda yang dibahas dari pacarnya.","Setelah dibuka, Cathy melihat kartu dengan puisi cinta yang paling indah.",Cathy tersentuh hingga menangis oleh puisi yang dikirim pacarnya.
cfd764d6-b826-460a-994c-23972a7d3f13,Stan menikah,Stan takut bahwa pada usia tuanya dia tidak akan pernah menemukan cinta.,Suatu hari seorang teman menyuruhnya mencoba acara lajang.,Stan bertemu dengan seorang wanita cantik di sana.,"Setelah berkencan selama setahun, memutuskan untuk menikah.",Stan senang bahwa dia telah menemukan cinta.
17947cc6-b214-4f77-a975-d78bf7669643,Film,Yeremia sangat suka pergi ke bioskop.,Segala sesuatu tentang film yang dia sukai.,"Popcorn, trailer, semuanya adalah bagian dari pengalaman.",Yeremia selalu senang pergi ke bioskop.,Dia menyukai semuanya.
c78c7020-b66a-4662-83b8-3df9c2ccd8cb,Menulis cerita,"Ketika saya masih muda, saya dulu suka menulis cerita.",Kisah favorit saya adalah salah satu yang saya tulis tentang anjing saya.,Dalam cerita saya dan anjing saya bertualang bersama.,Saya menunjukkan ceritanya kepada semua teman saya dan mereka menyukainya.,Saya masih sangat suka menulis cerita dan membaginya dengan orang lain.
41e09084-b0f7-4483-98df-7f605eba41da,Pertemuan satwa liar,Kami berkendara pulang ketika kami melihat gundukan sesuatu di jalan.,Kami melihat dengan hati -hati dan melihat bahwa itu adalah kura -kura besar!,Kami keluar dari mobil dan mencoba memikatnya ke sisi jalan.,Tiba -tiba itu melompat dan membentak kaki suamiku!,"Kami menyukai tetangga kura -kura, tetapi akan lebih berhati -hati di lain waktu!"
de75eebf-aa24-45b2-99e4-b7223ac20780,Pemakan,Pria itu makan makanan yang sama setiap hari untuk sarapan makan siang dan makan malam.,Dia berada di restoran favoritnya makan wafel dan sosis yang sama.,Dia melihat ke luar jendela dan melihat seorang gadis muda makan sendirian.,Pria itu berjalan ke gadis itu dan meminta makan bersama.,Dia memesan makanan yang sama dengan dia dan dia jatuh cinta pada cinta.
23cdde13-2ff5-46a7-9edf-8f8203203ee2,Bayi,Kim mengalami keguguran.,Dia sangat terpukul.,Setelah beberapa bulan dia merasa sedikit lebih baik.,Segera dia mengandung bayi baru yang cantik.,Kim mencintai bayi pelangi dengan sepenuh hati!
17af3f4f-502d-4c69-abd0-919b3a9b17b9,Jan membeli anak anjing,Jan melihat sekeliling berbelanja.,Dia ingin membeli sesuatu tetapi tidak tahu apa.,Dia melihat seekor anak anjing yang lucu menatapnya melalui jendela.,Jan jatuh cinta secara instan.,Dia masuk ke dalam toko dan membeli anak anjing lucu di jendela.
de7ac4ef-3295-4106-87a5-53d2b1f5c4b3,Cinta memiliki banyak warna,John ingin jatuh cinta.,Dia pergi ke bar dengan harapan menemukan seseorang.,"Di bar, ia menemukan teman dan berbicara dengan mereka sepanjang malam.","Ketika dia kembali ke rumah, dia masih sendirian.",Tetapi dia menyadari bahwa dia senang karena dia menghabiskan waktu bersama teman -teman.
a9dda7c3-8ed8-4b82-b9e9-96c27e6e5807,Musik paduan suara,Saya diperkenalkan dengan musik paduan suara pada tahun 1978.,Saya pergi ke konser paduan suara di sebuah gereja di lingkungan saya.,Ketika saya mendengar para wanita menyanyikan hati saya melompat.,"Saya sangat tersentuh, dan menghadiri banyak konser paduan suara tahun itu.",Saya masih tersentuh oleh oratorio dan massa requiem.
b0484088-e919-45a7-a035-8a7e29613e36,Usul,Mitch jatuh cinta dengan Samantha.,Mereka telah bersama selama lebih dari empat tahun.,Dia akhirnya akan melamarnya di karnaval.,"Ketika dia berlutut, Samantha berlari ke tempat sampah terdekat.",Dia mulai muntah sehingga Mitch menyelipkan cincin itu kembali ke sakunya.
3a62238b-537d-49dd-bea6-f60b1df3abea,Putri Tidur,Daniel merayap ke kamar tidur untuk memeriksa putrinya.,Dia tidur nyenyak di boksnya.,"Dia tahu dia harus membiarkannya tidur, tetapi dia tidak bisa menahan diri.",Dia berjingkat dan memberinya ciuman.,"Dia membuka matanya dan tersenyum padanya, lalu kembali tidur."
a76882c7-d121-45a6-af95-63c5d5cc4975,Kencan daring,Victoria sedang berbicara dengan seorang pria yang dia temui di internet.,Mereka berkencan.,Dia pikir mereka bersenang -senang bersama.,Dia mulai khawatir ketika dia berhenti menanggapi pesan teksnya.,"Victoria, meskipun kesal, menyerah pada gagasan hubungan itu."
