storyid,storytitle,sentence1,sentence2,sentence3,sentence4,sentence5
f3643541-c339-4377-851d-144ea400d551,Ibu tiri,Eric dan istrinya memiliki seorang putri bernama Meg.,Istri Eric meninggal.,Eric dan Meg sangat sedih.,Eric bertemu dengan seorang wanita dan menikahinya 5 tahun setelah istrinya meninggal.,Meg sekarang senang dengan ibu tirinya yang baru.
d61b69c7-7eca-4099-ade2-1a7e5a014a13,Riasan yang buruk,Marnie akan menikah.,"Untuk pernikahannya, dia perlu makeup selesai.",Akibatnya dia menyewa penata rias untuk membantunya.,"Ketika penata rias selesai, Marinir melihatnya.","Dia ngeri dan akhirnya memecatnya,"
3ea38bec-1101-4a64-86fa-948904d33a2b,Bersatu kembali di reuni,Tom selalu bertanya -tanya apakah dia pernah melihat Sue lagi.,Dia telah memutuskan untuk menikahi orang lain dan mereka telah pindah jauh.,"Sekarang, dia bercerai dan akan datang ke reuni kelas.",Tom dan Sue menghabiskan sebagian besar reuni berbicara satu sama lain.,Kedua kekasih yang bersatu kembali telah bersama sejak saat itu.
f085aab6-c13a-46d6-aca0-cf942b50577a,Keluarga baru,Jenn dan Bill jatuh cinta dan menikah.,"Beberapa bulan kemudian, Jenn mengetahui bahwa dia hamil.",Bill sangat bersemangat dan tidak sabar untuk menjadi ayah.,Mereka mengetahui bahwa mereka memiliki bayi laki -laki.,"Begitu bayi itu lahir, mereka menamainya Theodore."
e19867fe-9b77-4a56-934a-9fd00d4c802e,Lone Girl,Dessie ingin bertemu pasangan baru.,Dia pergi melalui banyak situs kencan tidak berhasil.,"Akhirnya, dia menyerah dan pergi ke perpustakaan.","Anehnya, dia bertemu dengan seorang pria tampan di sana dan mereka bertukar nomor.","Setelah beberapa minggu, mereka bersama dalam suatu hubungan."
1c83b064-ea44-403a-8953-499891ec1ddc,Pria terbaik dibutuhkan,Lawrence akan menikah.,Hidupnya berjalan baik.,Hanya satu hal yang hilang.,Dia membutuhkan pria terbaik.,Dia menemukan sahabatnya yang sudah lama hilang melalui Facebook dan bertanya kepadanya.
1e25d802-72e1-4fc0-a8ac-2a83e223b2aa,Patah hati,Mark tidak ingin bekerja hari ini.,"Kemarin, Mark dibuang oleh pacarnya.","Mark patah hati, karena dia akan melamar.","Mark berusaha meneleponnya, tetapi dia tidak mau menjawab.","Mark merasa sangat sedih, karena dia sekarang seorang pria lajang."
db2ea7ec-cf7e-4fe3-8b5a-4d5eb31df93a,Kompromi,Justin dan Melanie bergerak bersama.,Melanie memuja kucing dan bertanya kapan mereka bisa mengadopsi satu.,Justin memberitahunya bahwa dia sangat alergi terhadap bulu kucing.,Melanie patah hati dan benar -benar menginginkan teman kucing.,"Dia menemukan kucing yang tidak berambut dan membawanya pulang, dan Justin baik -baik saja."
f5e3ebdb-4a4e-49e0-821c-3cf9310be3a7,Pria terbaik,Larry akan menikah dalam dua minggu.,Dia hanya punya satu masalah.,Dia tidak punya pria terbaik!,Suatu hari di tempat kerja dia melihat sahabat lama dari perguruan tinggi.,Keduanya menyusul dan Larry memintanya untuk menjadi pria terbaiknya.
51a192b3-9aff-46a7-8869-dd091f8ed72f,Seth menikah,Seth selalu ingin menikah.,"Namun, dia khawatir bahwa dia tidak akan pernah jatuh cinta.",Akhirnya dia bertemu dengan seorang wanita baik yang sangat dia sukai.,Mereka memutuskan untuk menikah.,Seth senang akhirnya akan menikah.
48da047e-839f-4143-8fc5-10b21a789010,Lebih baik sebagai teman,Allan dan Fran telah menikah selama 20 tahun.,Mereka bergaul dan menganggap satu sama lain sebagai sahabat.,Tetapi mereka tidak lagi terhubung sebagai kekasih.,Mereka telah memutuskan untuk bercerai.,Mereka berdua mengakui bahwa mereka lebih baik sebagai teman.
393fa966-92a5-4923-bdc6-d2ae5120ef9a,Pasangan,Jenna dan Frank telah menikah beberapa tahun.,Mereka akan bertengkar mengerikan.,Teman -teman Jenna semua menyuruhnya mencampakkannya.,"Suatu malam, dia memutuskan mereka benar.",Dia menyuruhnya keluar dari rumah mereka.
80df831b-7d06-449a-90aa-802fee047c9d,Usul,Tim dan Lucy telah berkencan selama enam bulan.,"Suatu hari, Tim membawanya ke taman.",Dia membawanya berjalan -jalan di sekitar danau.,"Ketika mereka sampai di gazebo, dia berlutut.",Dia melamarnya dan dia menjawab ya.
9ab46cca-8fa9-4f95-9d5e-12a1c63c7134,Perselingkuhan,Seorang rekan kerja memberi tahu saya seseorang di kantor itu berselingkuh.,Dia menikah dengan dua anak di perguruan tinggi.,"Saya kenal istri pria itu, tetapi tidak mengatakan apa -apa.",Istrinya menemukan bukti di Facebook dan berhadapan dengan suami.,Dia mengakhiri perselingkuhan dan kembali ke istrinya.
b6fdf451-33e1-4da1-954e-c7ac64f6570f,Hari Buruk Josh,Josh ingin bermain video game alih -alih pergi bekerja.,"Istrinya membenci ketika dia melakukan itu, jadi dia berbohong padanya.","Ketika dia pulang dan mendapati dia tidak pergi bekerja, dia pergi.",Istri Josh tinggal di rumah ibunya malam itu.,"Keesokan harinya, istrinya memintanya untuk bercerai."
620154e3-814f-455a-bd0d-ee9fa8f38b71,Musisi pernikahan,Barry akan menikah dengan tunangannya dalam dua minggu.,Barry sangat perlu menemukan pemain biola untuk resepsi.,"Setelah mencari di Craigslist, Barry menemukan pemain biola.","Setelah bertemu dengan pemain, Barry senang dengan pemainnya.",Barry tidak sabar untuk mengejutkan istrinya dengan pemain biola.
